,movie_title,duration
220,Mission: Impossible II ,123.0
221,The Perfect Storm ,130.0
222,Fantastic 4: Rise of the Silver Surfer ,92.0
223,Life of Pi ,127.0
224,Ghost Rider ,123.0
225,Jason Bourne ,123.0
226,Charlie's Angels: Full Throttle ,107.0
227,Prometheus ,124.0
228,Stuart Little 2 ,77.0
229,Elysium ,109.0
230,The Chronicles of Riddick ,134.0
231,RoboCop ,117.0
232,Speed Racer ,135.0
233,How Do You Know ,121.0
234,Knight and Day ,117.0
235,Oblivion ,124.0
236,Star Wars: Episode III - Revenge of the Sith ,140.0
237,Star Wars: Episode II - Attack of the Clones ,142.0
238,"Monsters, Inc. ",92.0
239,The Wolverine ,138.0
240,Star Wars: Episode I - The Phantom Menace ,136.0
241,The Croods ,98.0
242,Asterix at the Olympic Games ,116.0
243,Windtalkers ,153.0
244,The Huntsman: Winter's War ,120.0
245,Teenage Mutant Ninja Turtles ,101.0
246,Gravity ,91.0
247,Dante's Peak ,108.0
248,Teenage Mutant Ninja Turtles: Out of the Shadows ,112.0
249,Fantastic Four ,100.0
250,Night at the Museum ,108.0
251,San Andreas ,114.0
252,Tomorrow Never Dies ,119.0
253,The Patriot ,142.0
254,Ocean's Twelve ,125.0
255,Mr. & Mrs. Smith ,126.0
256,Insurgent ,119.0
257,The Aviator ,170.0
258,Gulliver's Travels ,85.0
259,The Green Hornet ,119.0
260,The A-Team             ,60.0
261,300: Rise of an Empire ,102.0
262,The Smurfs ,103.0
263,Home on the Range ,76.0
264,Allegiant ,120.0
265,Real Steel ,127.0
266,The Smurfs 2 ,105.0
267,Speed 2: Cruise Control ,121.0
268,Ender's Game ,114.0
269,Live Free or Die Hard ,129.0
270,The Lord of the Rings: The Fellowship of the Ring ,171.0
271,Around the World in 80 Days ,120.0
272,Ali ,165.0
273,The Cat in the Hat ,82.0
274,"I, Robot ",115.0
275,Kingdom of Heaven ,194.0
276,Stuart Little ,84.0
277,The Princess and the Frog ,97.0
278,The Martian ,151.0
279,"10,000 B.C.             ",22.0
280,The Island ,136.0
281,Town & Country ,104.0
282,Gone in Sixty Seconds ,127.0
283,Gladiator ,171.0
284,Minority Report ,145.0
285,Harry Potter and the Chamber of Secrets ,174.0
286,Casino Royale ,144.0
287,Planet of the Apes ,119.0
288,Terminator 2: Judgment Day ,153.0
289,Public Enemies ,140.0
290,American Gangster ,176.0
291,True Lies ,141.0
292,The Taking of Pelham 1 2 3 ,106.0
293,Little Fockers ,98.0
294,The Other Guys ,116.0
295,Eraser ,115.0
296,Django Unchained ,165.0
297,The Hunchback of Notre Dame ,91.0
298,The Emperor's New Groove ,78.0
299,The Expendables 2 ,103.0
300,National Treasure ,131.0
301,Eragon ,104.0
302,Where the Wild Things Are ,101.0
303,Pan ,111.0
304,Epic ,102.0
305,The Tourist ,103.0
306,End of Days ,121.0
307,Blood Diamond ,143.0
308,The Wolf of Wall Street ,240.0
309,Batman Forever ,121.0
310,Starship Troopers ,129.0
311,Cloud Atlas ,172.0
312,Legend of the Guardians: The Owls of Ga'Hoole ,101.0
313,Catwoman ,87.0
314,Hercules ,101.0
315,Treasure Planet ,95.0
316,Land of the Lost ,102.0
317,The Expendables 3 ,131.0
318,Point Break ,114.0
319,Son of the Mask ,94.0
320,In the Heart of the Sea ,122.0
321,The Adventures of Pluto Nash ,95.0
322,Green Zone ,115.0
323,The Peanuts Movie ,88.0
324,The Spanish Prisoner ,110.0
325,The Mummy Returns ,130.0
326,Gangs of New York ,216.0
327,The Flowers of War ,146.0
328,Surf's Up ,85.0
329,The Stepford Wives ,93.0
330,Black Hawk Down ,152.0
331,The Campaign ,85.0
332,The Fifth Element ,126.0
333,Sex and the City 2 ,146.0
334,The Road to El Dorado ,89.0
335,Ice Age: Continental Drift ,88.0
336,Cinderella ,105.0
337,The Lovely Bones ,135.0
338,Finding Nemo ,100.0
339,The Lord of the Rings: The Return of the King ,192.0
340,The Lord of the Rings: The Two Towers ,172.0
341,Seventh Son ,102.0
342,Lara Croft: Tomb Raider ,100.0
343,Transcendence ,119.0
344,Jurassic Park III ,92.0
345,Rise of the Planet of the Apes ,105.0
346,The Spiderwick Chronicles ,107.0
347,A Good Day to Die Hard ,101.0
348,The Alamo ,137.0
349,The Incredibles ,115.0
350,Cutthroat Island ,124.0
351,Percy Jackson & the Olympians: The Lightning Thief ,118.0
352,Men in Black ,98.0
353,Toy Story 2 ,82.0
354,Unstoppable ,98.0
355,Rush Hour 2 ,90.0
356,What Lies Beneath ,130.0
357,Cloudy with a Chance of Meatballs ,90.0
358,Ice Age: Dawn of the Dinosaurs ,94.0
359,The Secret Life of Walter Mitty ,114.0
360,Charlie's Angels ,94.0
361,The Departed ,151.0
362,Mulan ,88.0
363,Tropic Thunder ,121.0
364,The Girl with the Dragon Tattoo ,158.0
365,Die Hard with a Vengeance ,128.0
366,Sherlock Holmes ,128.0
367,Ben-Hur ,141.0
368,Atlantis: The Lost Empire ,95.0
369,Alvin and the Chipmunks: The Road Chip ,92.0
370,Valkyrie ,121.0
371,You Don't Mess with the Zohan ,113.0
372,Pixels ,106.0
373,A.I. Artificial Intelligence ,146.0
374,The Haunted Mansion ,88.0
375,Contact ,150.0
376,Hollow Man ,119.0
377,The Interpreter ,128.0
378,Percy Jackson: Sea of Monsters ,106.0
379,Lara Croft Tomb Raider: The Cradle of Life ,117.0
380,Now You See Me 2 ,129.0
381,The Saint ,116.0
382,Spy Game ,114.0
383,Mission to Mars ,114.0
384,Rio ,96.0
385,Bicentennial Man ,132.0
386,Volcano ,104.0
387,The Devil's Own ,111.0
388,K-19: The Widowmaker ,138.0
389,Fantastic Four ,100.0
390,Conan the Barbarian ,129.0
391,Cinderella Man ,144.0
392,The Nutcracker in 3D ,110.0
393,Seabiscuit ,140.0
394,Twister ,113.0
395,The Fast and the Furious ,106.0
396,Cast Away ,143.0
397,Happy Feet ,108.0
398,The Bourne Supremacy ,108.0
399,Air Force One ,124.0
400,Ocean's Eleven ,116.0
401,The Three Musketeers ,110.0
402,Hotel Transylvania ,91.0
403,Enchanted ,107.0
404,Hannibal             ,44.0
405,Safe House ,115.0
406,102 Dalmatians ,100.0
407,Tower Heist ,104.0
408,The Holiday ,138.0
409,Enemy of the State ,140.0
410,It's Complicated ,120.0
411,Ocean's Thirteen ,122.0
412,Open Season ,83.0
413,Divergent ,139.0
414,Enemy at the Gates ,131.0
415,The Rundown ,104.0
416,Last Action Hero ,130.0
417,Memoirs of a Geisha ,145.0
418,The Fast and the Furious: Tokyo Drift ,104.0
419,Arthur Christmas ,97.0
420,Meet Joe Black ,178.0
421,Collateral Damage ,108.0
422,All That Jazz ,123.0
423,Mirror Mirror ,106.0
424,Scott Pilgrim vs. the World ,112.0
425,The Core ,135.0
426,Nutty Professor II: The Klumps ,109.0
427,Scooby-Doo ,86.0
428,Dredd ,95.0
429,Click ,107.0
430,Creepshow ,130.0
431,Cats & Dogs: The Revenge of Kitty Galore ,82.0
432,Jumper ,88.0
433,Hellboy II: The Golden Army ,120.0
434,Zodiac ,162.0
435,The 6th Day ,123.0
436,Bruce Almighty ,101.0
437,The Expendables ,113.0
438,Mission: Impossible ,110.0
439,The Hunger Games ,142.0
440,The Hangover Part II ,102.0
441,Batman Returns ,126.0
442,Over the Hedge ,83.0
443,Lilo & Stitch ,85.0
444,Charlotte's Web ,97.0
445,Deep Impact ,120.0
446,RED 2 ,116.0
447,The Longest Yard ,113.0
448,Alvin and the Chipmunks: Chipwrecked ,87.0
449,Grown Ups 2 ,101.0
450,Get Smart ,110.0
451,Something's Gotta Give ,128.0
452,Shutter Island ,138.0
453,Four Christmases ,88.0
454,Robots ,91.0
455,Face/Off ,138.0
456,Bedtime Stories ,99.0
457,Road to Perdition ,117.0
458,Just Go with It ,117.0
459,Daredevil             ,54.0
460,Con Air ,123.0
461,Eagle Eye ,118.0
462,Cold Mountain ,154.0
463,The Book of Eli ,118.0
464,Flubber ,90.0
465,The Haunting ,113.0
466,Space Jam ,88.0
467,The Pink Panther ,93.0
468,The Day the Earth Stood Still ,104.0
469,Conspiracy Theory ,135.0
470,Fury ,134.0
471,Six Days Seven Nights ,98.0
472,Yogi Bear ,80.0
473,Spirit: Stallion of the Cimarron ,83.0
474,Zookeeper ,102.0
475,Lost in Space ,130.0
476,The Manchurian Candidate ,129.0
477,Déjà Vu ,117.0
478,Hotel Transylvania 2 ,89.0
479,Bewitched             ,25.0
480,Fantasia 2000 ,74.0
481,The Time Machine ,96.0
482,Mighty Joe Young ,114.0
483,Swordfish ,99.0
484,The Legend of Zorro ,129.0
485,What Dreams May Come ,113.0
486,Little Nicky ,90.0
487,The Brothers Grimm ,118.0
488,Mars Attacks! ,106.0
489,Evolution ,81.0
490,The Edge ,117.0
491,Surrogates ,89.0
492,Thirteen Days ,145.0
493,Daylight ,114.0
494,Walking with Dinosaurs 3D ,87.0
495,Battlefield Earth ,119.0
496,Looney Tunes: Back in Action ,91.0
497,Nine ,118.0
498,Timeline ,116.0
499,The Postman ,177.0
500,Babe: Pig in the City ,97.0
501,The Last Witch Hunter ,106.0
502,Red Planet ,106.0
503,Arthur and the Invisibles ,94.0
504,Oceans ,104.0
505,A Sound of Thunder ,102.0
506,Pompeii ,105.0
507,Top Cat Begins ,89.0
508,A Beautiful Mind ,135.0
509,The Lion King ,73.0
510,Journey 2: The Mysterious Island ,94.0
511,Cloudy with a Chance of Meatballs 2 ,95.0
512,Red Dragon ,124.0
513,Hidalgo ,136.0
514,Jack and Jill ,91.0
515,2 Fast 2 Furious ,107.0
516,The Little Prince ,108.0
517,The Invasion ,99.0
518,The Adventures of Rocky & Bullwinkle ,92.0
519,The Secret Life of Pets ,87.0
520,The League of Extraordinary Gentlemen ,110.0
521,Despicable Me 2 ,98.0
522,Independence Day ,154.0
523,The Lost World: Jurassic Park ,129.0
524,Madagascar ,86.0
525,Children of Men ,109.0
526,X-Men ,104.0
527,Wanted ,110.0
528,The Rock ,136.0
529,Ice Age: The Meltdown ,115.0
530,50 First Dates ,99.0
531,Hairspray ,117.0
532,Exorcist: The Beginning ,125.0
533,Inspector Gadget ,110.0
534,Now You See Me ,125.0
535,Grown Ups ,102.0
536,The Terminal ,128.0
537,Constantine             ,43.0
538,Hotel for Dogs ,100.0
539,Vertical Limit ,124.0
540,Charlie Wilson's War ,102.0
541,Shark Tale ,90.0
542,Dreamgirls ,130.0
543,Life             ,45.0
544,Be Cool ,118.0
545,Munich ,163.0
546,Tears of the Sun ,142.0
547,Killers ,100.0
548,The Man from U.N.C.L.E. ,116.0
549,Spanglish ,131.0
550,Monster House ,91.0
551,Bandits ,123.0
552,First Knight ,134.0
553,Anna and the King ,148.0
554,Immortals ,110.0
555,Hostage ,113.0
556,Titan A.E. ,94.0
557,Hollywood Homicide ,116.0
558,Soldier ,99.0
559,Carriers ,84.0
560,Monkeybone ,93.0
561,Flight of the Phoenix ,113.0
562,Unbreakable ,106.0
563,Minions ,91.0
564,Sucker Punch ,128.0
565,Snake Eyes ,98.0
566,Sphere ,134.0
567,The Angry Birds Movie ,97.0
568,Fool's Gold ,112.0
569,Funny People ,153.0
570,The Kingdom ,110.0
571,Talladega Nights: The Ballad of Ricky Bobby ,122.0
572,Dr. Dolittle 2 ,87.0
573,Braveheart ,178.0
574,Jarhead ,125.0
575,The Simpsons Movie ,87.0
576,The Majestic ,152.0
577,Driven ,116.0
578,Two Brothers ,109.0
579,The Village ,108.0
580,Doctor Dolittle ,85.0
581,Signs ,106.0
582,Shrek 2 ,93.0
583,Cars ,117.0
584,Runaway Bride ,116.0
585,xXx ,132.0
586,The SpongeBob Movie: Sponge Out of Water ,92.0
587,Ransom ,139.0
588,Inglourious Basterds ,153.0
589,Hook ,142.0
590,Hercules ,101.0
591,Die Hard 2 ,124.0
592,S.W.A.T. ,117.0
593,Sleepy Hollow             ,45.0
594,Vanilla Sky ,141.0
595,Lady in the Water ,110.0
596,AVP: Alien vs. Predator ,109.0
597,Alvin and the Chipmunks: The Squeakquel ,88.0
598,We Were Soldiers ,124.0
599,Olympus Has Fallen ,119.0
600,Star Trek: Insurrection ,103.0
601,Battle Los Angeles ,116.0
602,Big Fish ,125.0
603,Wolf ,125.0
604,War Horse ,146.0
605,The Monuments Men ,118.0
606,The Abyss ,171.0
607,Wall Street: Money Never Sleeps ,136.0
608,Dracula Untold ,92.0
609,The Siege ,116.0
610,Stardust ,127.0
611,Seven Years in Tibet ,136.0
612,The Dilemma ,111.0
613,Bad Company ,116.0
614,Doom ,113.0
615,I Spy ,97.0
616,Underworld: Awakening ,88.0
617,Rock of Ages ,136.0
618,Hart's War ,125.0
619,Killer Elite ,116.0
620,Rollerball ,98.0
621,Ballistic: Ecks vs. Sever ,91.0
622,Hard Rain ,97.0
623,Osmosis Jones ,95.0
624,Legends of Oz: Dorothy's Return ,88.0
625,Blackhat ,133.0
626,Sky Captain and the World of Tomorrow ,106.0
627,Basic Instinct 2 ,116.0
628,Escape Plan ,115.0
629,The Legend of Hercules ,99.0
630,The Sum of All Fears ,124.0
631,The Twilight Saga: Eclipse ,124.0
632,The Score ,124.0
633,Despicable Me ,87.0
634,Money Train ,105.0
635,Ted 2 ,125.0
636,Agora ,141.0
637,Mystery Men ,121.0
638,Hall Pass ,111.0
639,The Insider ,157.0
640,The Finest Hours ,117.0
641,Body of Lies ,128.0
642,Dinner for Schmucks ,114.0
643,Abraham Lincoln: Vampire Hunter ,105.0
644,Entrapment ,113.0
645,Last Man Standing             ,30.0
646,The X Files ,121.0
647,The Last Legion ,102.0
648,Saving Private Ryan ,169.0
649,Need for Speed ,132.0
650,What Women Want ,127.0
651,Ice Age ,103.0
652,Dreamcatcher ,136.0
653,Lincoln ,150.0
654,The Matrix ,136.0
655,Apollo 13 ,140.0
656,Total Recall ,113.0
657,The Santa Clause 2 ,104.0
658,Les Misérables ,158.0
659,You've Got Mail ,119.0
660,Step Brothers ,106.0
661,The Mask of Zorro ,136.0
662,Due Date ,95.0
663,Unbroken ,137.0
664,Space Cowboys ,130.0
665,Cliffhanger ,124.0
666,Broken Arrow ,108.0
667,The Kid ,104.0
668,World Trade Center ,129.0
669,Mona Lisa Smile ,117.0
670,The Dictator ,99.0
671,Eyes Wide Shut ,159.0
672,Annie ,118.0
673,Focus ,105.0
674,This Means War ,103.0
675,Blade: Trinity ,122.0
676,Red Dawn ,114.0
677,Primary Colors ,143.0
678,Resident Evil: Retribution ,96.0
679,Death Race ,111.0
680,The Long Kiss Goodnight ,121.0
681,Proof of Life ,135.0
682,Zathura: A Space Adventure ,101.0
683,Fight Club ,151.0
684,We Are Marshall ,131.0
685,The Missing             ,60.0
686,Hudson Hawk ,100.0
687,Lucky Numbers ,105.0
688,"I, Frankenstein ",92.0
689,Oliver Twist ,130.0
690,Elektra ,100.0
691,Sin City: A Dame to Kill For ,102.0
692,Random Hearts ,133.0
693,Everest ,121.0
694,Perfume: The Story of a Murderer ,147.0
695,Austin Powers in Goldmember ,94.0
696,Astro Boy ,94.0
697,Jurassic Park ,127.0
698,Wyatt Earp ,212.0
699,Clear and Present Danger ,141.0
700,Dragon Blade ,103.0
701,Littleman ,98.0
702,U-571 ,116.0
703,The American President ,114.0
704,The Love Guru ,87.0
705,3000 Miles to Graceland ,125.0
706,The Hateful Eight ,187.0
707,Blades of Glory ,93.0
708,Hop ,95.0
709,300 ,117.0
710,Meet the Fockers ,106.0
711,Marley & Me ,115.0
712,The Green Mile ,189.0
713,Wild Hogs ,100.0
714,Chicken Little ,81.0
715,Gone Girl ,149.0
716,The Bourne Identity ,119.0
717,GoldenEye ,130.0
718,The General's Daughter ,116.0
719,The Truman Show ,103.0
720,The Prince of Egypt ,99.0
721,Daddy Day Care ,92.0
722,2 Guns ,109.0
723,Cats & Dogs ,87.0
724,The Italian Job ,111.0
725,Two Weeks Notice ,101.0
726,Antz ,83.0
727,Couples Retreat ,113.0
728,Days of Thunder ,107.0
729,Cheaper by the Dozen 2 ,94.0
730,The Scorch Trials ,132.0
731,Eat Pray Love ,140.0
732,The Family Man ,125.0
733,RED ,111.0
734,Any Given Sunday ,156.0
735,The Horse Whisperer ,170.0
736,Collateral ,120.0
737,The Scorpion King ,100.0
738,Ladder 49 ,115.0
739,Jack Reacher ,130.0
740,Deep Blue Sea ,105.0
741,This Is It ,111.0
742,Contagion ,106.0
743,Kangaroo Jack ,89.0
744,Coraline ,100.0
745,The Happening ,91.0
746,Man on Fire ,146.0
747,The Shaggy Dog ,98.0
748,Starsky & Hutch ,101.0
749,Jingle All the Way ,94.0
750,Hellboy ,132.0
751,A Civil Action ,115.0
752,ParaNorman ,92.0
753,The Jackal ,124.0
754,Paycheck ,119.0
755,Up Close & Personal ,124.0
756,The Tale of Despereaux ,93.0
757,Rules of Engagement             ,22.0
758,The Tuxedo ,98.0
759,Under Siege 2: Dark Territory ,92.0
760,Jack Ryan: Shadow Recruit ,105.0
761,Joy ,124.0
762,London Has Fallen ,99.0
763,Alien: Resurrection ,116.0
764,Shooter ,124.0
765,The Boxtrolls ,96.0
766,Practical Magic ,104.0
767,The Lego Movie ,100.0
768,Miss Congeniality 2: Armed and Fabulous ,115.0
769,Reign of Fire ,101.0
770,Gangster Squad ,113.0
771,Year One ,100.0
772,Invictus ,134.0
773,State of Play ,127.0
774,Duplicity ,125.0
775,My Favorite Martian ,94.0
776,The Sentinel ,107.0
777,Planet 51 ,91.0
778,Star Trek: Nemesis ,116.0
779,Intolerable Cruelty ,100.0
780,Trouble with the Curve ,111.0
781,Edge of Darkness ,117.0
782,The Relic ,110.0
783,Analyze That ,96.0
784,Righteous Kill ,101.0
785,Mercury Rising ,111.0
786,The Soloist ,117.0
787,The Legend of Bagger Vance ,126.0
788,Almost Famous ,152.0
789,Garfield 2 ,86.0
790,xXx: State of the Union ,101.0
791,Priest ,87.0
792,Sinbad: Legend of the Seven Seas ,85.0
793,Event Horizon ,130.0
794,The Avengers ,173.0
795,Dragonfly ,104.0
796,The Black Dahlia ,121.0
797,Flyboys ,140.0
798,The Last Castle ,131.0
799,Supernova ,91.0
800,Winter's Tale ,118.0
801,The Mortal Instruments: City of Bones ,130.0
802,Meet Dave ,90.0
803,Dark Water ,103.0
804,Edtv ,122.0
805,Inkheart ,106.0
806,The Spirit ,103.0
807,Mortdecai ,107.0
808,In the Name of the King: A Dungeon Siege Tale ,156.0
809,Beyond Borders ,127.0
810,Xi you ji zhi: Sun Wukong san da Baigu Jing ,119.0
811,The Great Raid ,132.0
812,Deadpool ,108.0
813,Holy Man ,114.0
814,American Sniper ,133.0
815,Goosebumps ,103.0
816,"Sabrina, the Teenage Witch             ",22.0
817,Just Like Heaven ,95.0
818,The Flintstones in Viva Rock Vegas ,90.0
819,Rambo III ,87.0
820,Leatherheads ,114.0
821,The Ridiculous 6 ,119.0
822,Did You Hear About the Morgans? ,103.0
823,The Internship ,125.0
824,Resident Evil: Afterlife ,97.0
825,Red Tails ,125.0
826,Sex and the City             ,30.0
827,The Devil's Advocate ,136.0
828,That's My Boy ,116.0
829,DragonHeart ,103.0
830,After the Sunset ,97.0
831,Ghost Rider: Spirit of Vengeance ,96.0
832,Captain Corelli's Mandolin ,131.0
833,Anger Management             ,22.0
834,The Pacifier ,95.0
835,Walking Tall ,86.0
836,Forrest Gump ,142.0
837,Alvin and the Chipmunks ,92.0
838,Meet the Parents ,108.0
839,Pocahontas ,84.0
840,Superman ,188.0
841,The Nutty Professor ,95.0
842,Hitch ,118.0
843,George of the Jungle ,92.0
844,American Wedding ,74.0
845,Captain Phillips ,134.0
846,Date Night ,101.0
847,Casper ,100.0
848,The Equalizer ,132.0
849,Maid in Manhattan ,105.0
850,Crimson Tide ,123.0
851,The Pursuit of Happyness ,117.0
852,Flightplan ,98.0
853,Disclosure ,128.0
854,City of Angels ,114.0
855,Kill Bill: Vol. 1 ,111.0
856,Bowfinger ,85.0
857,Stargate SG-1             ,44.0
858,Kill Bill: Vol. 2 ,137.0
859,Tango & Cash ,97.0
860,Death Becomes Her ,104.0
861,Shanghai Noon ,110.0
862,Executive Decision ,133.0
863,Mr. Popper's Penguins ,94.0
864,The Forbidden Kingdom ,104.0
865,Free Birds ,91.0
